post_id,department,district,post_date,sentiment_label,sentiment_score,sample_text,platform
P000936,Department of Education,Ratnapura,2024-11-02,Neutral,-0.36,Experience with Inland Revenue Department was standard,Instagram
P000937,Registrar General Department,Colombo,2024-11-15,Neutral,0.637,Experience with Department of Pensions was standard,Instagram
P000938,Provincial Council Secretariat,Jaffna,2025-01-15,Neutral,0.08,Experience with Divisional Secretariat was average,Facebook
P000939,Department of Motor Traffic,Jaffna,2024-12-18,Negative,-0.368,Inland Revenue Department service is terrible,Twitter
P000940,Divisional Secretariat,Kurunegala,2025-05-07,Positive,-0.652,Service at Inland Revenue Department was excellent,Facebook
P000941,Department of Health Services,Kegalle,2025-07-03,Neutral,-0.063,Experience with Department of Motor Traffic was okay,Facebook
P000942,Divisional Secretariat,Mullaitivu,2024-09-22,Negative,0.61,Department of Census and Statistics service is slow,Instagram
P000943,Department of Immigration,Kilinochhi,2024-12-23,Positive,-0.839,Service at Department of Health Services was fast,Facebook
P000944,Inland Revenue Department,Mannar,2025-08-24,Neutral,0.014,Experience with Department of Immigration was average,Twitter
P000945,Municipal Council,Matara,2025-05-27,Negative,0.731,Department of Immigration service is waste of time,Instagram
P000946,Municipal Council,Polonnaruwa,2024-12-10,Neutral,-0.974,Experience with Department of Motor Traffic was normal,Instagram
P000947,Registrar General Department,Nuwara Eliya,2025-08-10,Negative,0.544,Department of Health Services service is unprofessional,Instagram
P000948,Department of Motor Traffic,Vavuniya,2025-05-24,Positive,0.963,Service at Department of Pensions was good service,Instagram
P000949,Registrar General Department,Kandy,2025-07-17,Neutral,-0.733,Experience with Department of Education was standard,Twitter
P000950,Divisional Secretariat,Trincomalee,2025-09-19,Neutral,0.8,Experience with Provincial Council Secretariat was okay,Instagram
P000951,Department of Census and Statistics,Matale,2025-05-23,Neutral,-0.83,Experience with Department of Health Services was standard,Twitter
P000952,Department of Education,Kandy,2024-10-20,Neutral,-0.855,Experience with Department of Education was average,Facebook
P000953,Provincial Council Secretariat,Polonnaruwa,2025-02-21,Neutral,-0.134,Experience with Department of Health Services was typical,Facebook
P000954,Department of Education,Matara,2025-04-24,Neutral,-0.3,Experience with Department of Pensions was okay,Instagram
P000955,Department of Census and Statistics,Galle,2024-12-02,Neutral,0.272,Experience with Department of Health Services was typical,Facebook
P000956,Department of Education,Batticaloa,2025-04-10,Neutral,0.851,Experience with Department of Census and Statistics was average,Instagram
P000957,Department of Education,Monaragala,2024-09-29,Negative,-0.035,Divisional Secretariat service is unprofessional,Twitter
P000958,Department of Health Services,Polonnaruwa,2025-08-05,Negative,0.801,Divisional Secretariat service is corrupt,Twitter
P000959,Inland Revenue Department,Badulla,2024-10-21,Negative,-0.039,Department of Immigration service is unprofessional,Twitter
P000960,Divisional Secretariat,Mannar,2025-09-11,Positive,0.425,Service at Municipal Council was good service,Twitter
P000961,Municipal Council,Kegalle,2025-03-24,Negative,-0.805,Municipal Council service is terrible,Instagram
P000962,Inland Revenue Department,Gampaha,2025-07-09,Neutral,0.301,Experience with Pradeshiya Sabha was average,Facebook
P000963,Department of Health Services,Kalutara,2024-11-21,Neutral,0.404,Experience with Department of Immigration was normal,Facebook
P000964,Department of Census and Statistics,Badulla,2024-09-23,Negative,0.369,Municipal Council service is frustrated,Twitter
P000965,Department of Health Services,Matale,2025-08-04,Negative,0.848,Provincial Council Secretariat service is corrupt,Instagram
P000966,Department of Immigration,Kurunegala,2025-02-09,Neutral,0.47,Experience with Municipal Council was okay,Instagram
P000967,Department of Health Services,Gampaha,2025-02-22,Positive,0.323,Service at Pradeshiya Sabha was good service,Twitter
P000968,Department of Census and Statistics,Kalutara,2025-08-21,Positive,0.278,Service at Divisional Secretariat was satisfied,Twitter
P000969,Inland Revenue Department,Mullaitivu,2024-12-03,Negative,-0.501,Inland Revenue Department service is corrupt,Facebook
P000970,Department of Education,Anuradhapura,2025-01-07,Negative,0.258,Pradeshiya Sabha service is frustrated,Twitter
P000971,Department of Pensions,Kandy,2024-09-25,Negative,0.408,Department of Immigration service is corrupt,Facebook
P000972,Pradeshiya Sabha,Jaffna,2025-01-11,Negative,-0.517,Registrar General Department service is frustrated,Instagram
P000973,Divisional Secretariat,Polonnaruwa,2025-07-15,Negative,-0.598,Department of Education service is corrupt,Facebook
P000974,Department of Education,Colombo,2024-12-26,Negative,0.208,Pradeshiya Sabha service is corrupt,Instagram
P000975,Municipal Council,Nuwara Eliya,2025-02-16,Positive,0.12,Service at Department of Census and Statistics was excellent,Instagram
P000976,Provincial Council Secretariat,Matale,2025-05-07,Positive,-0.245,Service at Department of Pensions was helpful,Facebook
P000977,Department of Immigration,Kilinochhi,2025-07-29,Negative,0.042,Inland Revenue Department service is slow,Twitter
P000978,Department of Health Services,Matara,2025-03-02,Negative,-0.468,Provincial Council Secretariat service is waste of time,Facebook
P000979,Department of Pensions,Batticaloa,2025-05-13,Neutral,-0.149,Experience with Divisional Secretariat was standard,Instagram
P000980,Divisional Secretariat,Vavuniya,2025-02-26,Positive,0.032,Service at Department of Immigration was helpful,Facebook
P000981,Department of Immigration,Kalutara,2024-11-20,Neutral,-0.047,Experience with Registrar General Department was standard,Twitter
P000982,Municipal Council,Matale,2024-10-02,Negative,0.258,Inland Revenue Department service is corrupt,Facebook
P000983,Pradeshiya Sabha,Polonnaruwa,2025-09-05,Negative,0.668,Municipal Council service is waste of time,Twitter
P000984,Municipal Council,Kilinochhi,2025-05-09,Negative,0.418,Department of Census and Statistics service is waste of time,Twitter
P000985,Department of Education,Trincomalee,2024-12-20,Negative,-0.404,Department of Health Services service is corrupt,Twitter
P000986,Department of Education,Mullaitivu,2025-06-20,Negative,-0.907,Inland Revenue Department service is terrible,Instagram
P000987,Department of Pensions,Kurunegala,2024-11-13,Neutral,-0.647,Experience with Inland Revenue Department was normal,Twitter
P000988,Provincial Council Secretariat,Kurunegala,2025-04-26,Neutral,-0.763,Experience with Department of Census and Statistics was average,Twitter
P000989,Registrar General Department,Ampara,2025-04-14,Negative,-0.152,Department of Census and Statistics service is slow,Facebook
P000990,Registrar General Department,Polonnaruwa,2025-07-31,Negative,0.531,Registrar General Department service is corrupt,Instagram
P000991,Municipal Council,Kegalle,2025-04-23,Positive,-0.075,Service at Municipal Council was excellent,Twitter
P000992,Municipal Council,Nuwara Eliya,2025-08-10,Negative,0.657,Municipal Council service is unprofessional,Instagram
P000993,Department of Pensions,Jaffna,2024-12-27,Neutral,0.12,Experience with Inland Revenue Department was normal,Instagram
P000994,Department of Education,Kalutara,2025-01-28,Positive,-0.729,Service at Registrar General Department was fast,Facebook
P000995,Department of Health Services,Polonnaruwa,2025-04-08,Neutral,0.004,Experience with Pradeshiya Sabha was okay,Facebook
P000996,Registrar General Department,Badulla,2024-11-21,Positive,-0.098,Service at Divisional Secretariat was excellent,Facebook
P000997,Department of Motor Traffic,Badulla,2024-12-24,Negative,-0.615,Department of Pensions service is terrible,Instagram
P000998,Municipal Council,Gampaha,2024-12-04,Negative,0.724,Department of Immigration service is slow,Facebook
P000999,Department of Census and Statistics,Kurunegala,2025-03-04,Neutral,0.498,Experience with Divisional Secretariat was typical,Twitter
P001000,Department of Health Services,Hambantota,2025-01-25,Positive,-0.356,Service at Divisional Secretariat was fast,Facebook
P001001,Provincial Council Secretariat,Colombo,2025-07-15,Negative,0.858,Provincial Council Secretariat service is waste of time,Twitter
P001002,Department of Immigration,Mullaitivu,2025-02-17,Negative,-0.913,Department of Health Services service is corrupt,Twitter
P001003,Department of Motor Traffic,Badulla,2024-12-15,Negative,0.738,Department of Census and Statistics service is frustrated,Instagram
P001004,Pradeshiya Sabha,Matara,2025-09-16,Neutral,-1.0,Experience with Provincial Council Secretariat was okay,Facebook
P001005,Provincial Council Secretariat,Vavuniya,2025-07-03,Neutral,0.731,Experience with Department of Education was typical,Instagram
P001006,Municipal Council,Matale,2024-10-19,Negative,-0.898,Department of Immigration service is unprofessional,Twitter
P001007,Registrar General Department,Kegalle,2024-12-16,Positive,-0.152,Service at Registrar General Department was excellent,Instagram
P001008,Divisional Secretariat,Batticaloa,2024-09-22,Positive,-0.243,Service at Department of Immigration was fast,Instagram
P001009,Registrar General Department,Mannar,2025-05-05,Negative,0.702,Registrar General Department service is corrupt,Instagram
P001010,Department of Education,Colombo,2025-08-20,Positive,0.677,Service at Divisional Secretariat was satisfied,Instagram
P001011,Municipal Council,Nuwara Eliya,2024-11-06,Neutral,0.664,Experience with Department of Education was average,Instagram
P001012,Department of Health Services,Galle,2024-12-07,Negative,-0.336,Department of Immigration service is unprofessional,Twitter
P001013,Inland Revenue Department,Kurunegala,2025-03-04,Negative,0.165,Department of Immigration service is unprofessional,Instagram
P001014,Department of Census and Statistics,Mannar,2024-11-08,Neutral,0.218,Experience with Department of Education was normal,Twitter
P001015,Department of Census and Statistics,Mannar,2025-05-20,Negative,0.698,Pradeshiya Sabha service is slow,Instagram
P001016,Inland Revenue Department,Hambantota,2024-10-22,Negative,-0.2,Department of Immigration service is frustrated,Twitter
P001017,Registrar General Department,Badulla,2025-02-09,Negative,0.2,Divisional Secretariat service is terrible,Facebook
P001018,Inland Revenue Department,Colombo,2025-03-16,Negative,0.396,Provincial Council Secretariat service is waste of time,Twitter
P001019,Divisional Secretariat,Badulla,2024-11-24,Negative,0.516,Registrar General Department service is corrupt,Instagram
P001020,Department of Health Services,Batticaloa,2025-08-17,Neutral,0.133,Experience with Divisional Secretariat was normal,Instagram
P001021,Department of Education,Anuradhapura,2025-06-16,Negative,0.561,Municipal Council service is terrible,Instagram
P001022,Department of Pensions,Kilinochhi,2025-08-01,Negative,0.702,Pradeshiya Sabha service is unprofessional,Instagram
P001023,Registrar General Department,Ampara,2024-11-08,Positive,0.253,Service at Registrar General Department was satisfied,Instagram
P001024,Pradeshiya Sabha,Ampara,2024-12-19,Negative,-0.459,Provincial Council Secretariat service is corrupt,Facebook
P001025,Department of Health Services,Nuwara Eliya,2025-06-22,Positive,0.105,Service at Department of Motor Traffic was satisfied,Instagram
P001026,Department of Education,Badulla,2025-09-08,Neutral,-0.629,Experience with Department of Census and Statistics was typical,Twitter
P001027,Department of Education,Colombo,2025-03-21,Neutral,-0.839,Experience with Provincial Council Secretariat was okay,Facebook
P001028,Department of Census and Statistics,Batticaloa,2024-10-14,Negative,-0.357,Inland Revenue Department service is unprofessional,Twitter
P001029,Department of Census and Statistics,Monaragala,2025-04-03,Negative,0.519,Divisional Secretariat service is slow,Instagram
P001030,Provincial Council Secretariat,Hambantota,2024-10-02,Negative,-0.151,Department of Motor Traffic service is unprofessional,Instagram
P001031,Pradeshiya Sabha,Polonnaruwa,2025-03-30,Neutral,0.124,Experience with Department of Motor Traffic was okay,Twitter
P001032,Pradeshiya Sabha,Nuwara Eliya,2025-05-03,Neutral,-0.413,Experience with Department of Health Services was average,Instagram
P001033,Department of Motor Traffic,Colombo,2024-10-07,Neutral,-0.729,Experience with Department of Pensions was standard,Facebook
P001034,Municipal Council,Batticaloa,2025-03-02,Positive,0.808,Service at Pradeshiya Sabha was excellent,Facebook
P001035,Department of Census and Statistics,Ampara,2024-11-05,Negative,0.378,Department of Health Services service is terrible,Twitter
P001036,Department of Pensions,Batticaloa,2025-01-14,Neutral,-0.227,Experience with Provincial Council Secretariat was standard,Twitter
P001037,Department of Education,Matale,2025-04-02,Neutral,0.339,Experience with Provincial Council Secretariat was average,Instagram
P001038,Department of Motor Traffic,Gampaha,2024-10-09,Positive,0.432,Service at Divisional Secretariat was excellent,Facebook
P001039,Municipal Council,Kegalle,2025-04-15,Negative,0.35,Municipal Council service is waste of time,Instagram
P001040,Municipal Council,Matale,2025-08-27,Positive,-0.686,Service at Department of Pensions was fast,Twitter
P001041,Department of Education,Matara,2025-03-27,Negative,-0.57,Divisional Secretariat service is waste of time,Facebook
P001042,Department of Education,Vavuniya,2025-01-06,Neutral,-0.312,Experience with Municipal Council was average,Facebook
P001043,Department of Census and Statistics,Trincomalee,2025-07-10,Negative,-0.173,Department of Census and Statistics service is corrupt,Facebook
P001044,Pradeshiya Sabha,Mullaitivu,2025-09-07,Neutral,0.524,Experience with Provincial Council Secretariat was normal,Facebook
P001045,Department of Immigration,Badulla,2024-12-25,Neutral,-0.198,Experience with Provincial Council Secretariat was standard,Instagram
P001046,Department of Motor Traffic,Nuwara Eliya,2025-08-24,Negative,-0.313,Inland Revenue Department service is terrible,Facebook
P001047,Inland Revenue Department,Jaffna,2025-05-15,Negative,-0.111,Department of Pensions service is corrupt,Instagram
P001048,Municipal Council,Trincomalee,2024-10-29,Negative,-0.428,Divisional Secretariat service is corrupt,Facebook
P001049,Department of Pensions,Mannar,2024-09-27,Positive,-0.93,Service at Registrar General Department was good service,Instagram
P001050,Department of Motor Traffic,Mullaitivu,2025-01-16,Neutral,0.207,Experience with Inland Revenue Department was average,Facebook
P001051,Divisional Secretariat,Vavuniya,2025-07-28,Negative,0.297,Registrar General Department service is frustrated,Twitter
P001052,Divisional Secretariat,Mannar,2024-10-19,Negative,-0.349,Department of Education service is corrupt,Facebook
P001053,Municipal Council,Galle,2025-07-29,Positive,-0.508,Service at Divisional Secretariat was satisfied,Instagram
P001054,Divisional Secretariat,Batticaloa,2024-10-13,Positive,0.694,Service at Registrar General Department was satisfied,Facebook
P001055,Registrar General Department,Monaragala,2025-09-17,Neutral,0.387,Experience with Registrar General Department was typical,Facebook
P001056,Department of Health Services,Gampaha,2025-06-12,Negative,0.66,Department of Education service is corrupt,Instagram
P001057,Department of Census and Statistics,Anuradhapura,2024-12-27,Negative,-0.689,Department of Motor Traffic service is frustrated,Twitter
P001058,Department of Pensions,Ampara,2024-11-30,Neutral,-0.494,Experience with Inland Revenue Department was standard,Instagram
P001059,Department of Health Services,Monaragala,2025-01-17,Negative,0.897,Municipal Council service is corrupt,Instagram
P001060,Registrar General Department,Vavuniya,2025-02-18,Negative,0.264,Pradeshiya Sabha service is frustrated,Twitter
P001061,Department of Health Services,Jaffna,2025-01-27,Neutral,0.935,Experience with Provincial Council Secretariat was standard,Facebook
P001062,Inland Revenue Department,Kalutara,2025-04-23,Negative,0.579,Department of Motor Traffic service is frustrated,Facebook
P001063,Pradeshiya Sabha,Batticaloa,2025-08-16,Negative,0.674,Department of Immigration service is unprofessional,Instagram
P001064,Municipal Council,Kalutara,2025-06-12,Positive,-0.732,Service at Department of Motor Traffic was helpful,Facebook
P001065,Department of Pensions,Gampaha,2025-01-12,Positive,-0.72,Service at Department of Census and Statistics was good service,Instagram
P001066,Divisional Secretariat,Mannar,2025-03-31,Neutral,0.076,Experience with Provincial Council Secretariat was normal,Facebook
P001067,Registrar General Department,Polonnaruwa,2024-12-04,Negative,-0.659,Department of Census and Statistics service is corrupt,Instagram
P001068,Inland Revenue Department,Batticaloa,2024-12-28,Positive,0.734,Service at Department of Motor Traffic was efficient,Twitter
P001069,Divisional Secretariat,Jaffna,2025-03-25,Neutral,-0.782,Experience with Pradeshiya Sabha was average,Instagram
P001070,Divisional Secretariat,Monaragala,2025-04-05,Negative,-0.655,Pradeshiya Sabha service is corrupt,Twitter
P001071,Pradeshiya Sabha,Nuwara Eliya,2025-08-22,Neutral,-0.422,Experience with Pradeshiya Sabha was typical,Facebook
P001072,Department of Immigration,Monaragala,2025-03-07,Neutral,-0.07,Experience with Registrar General Department was okay,Twitter
P001073,Provincial Council Secretariat,Mullaitivu,2025-07-17,Negative,-0.598,Department of Pensions service is frustrated,Facebook
P001074,Department of Education,Hambantota,2025-07-30,Neutral,0.268,Experience with Department of Immigration was average,Twitter
P001075,Department of Health Services,Colombo,2025-08-28,Positive,0.562,Service at Pradeshiya Sabha was excellent,Facebook
P001076,Inland Revenue Department,Hambantota,2025-06-05,Negative,0.359,Department of Pensions service is corrupt,Twitter
P001077,Inland Revenue Department,Ratnapura,2025-06-05,Positive,-0.267,Service at Pradeshiya Sabha was efficient,Facebook
P001078,Divisional Secretariat,Kurunegala,2025-06-20,Positive,0.328,Service at Department of Health Services was good service,Facebook
P001079,Registrar General Department,Mannar,2025-07-04,Positive,0.442,Service at Department of Immigration was helpful,Twitter
P001080,Department of Census and Statistics,Kandy,2025-05-26,Negative,-0.05,Municipal Council service is unprofessional,Instagram
P001081,Department of Motor Traffic,Hambantota,2025-03-16,Positive,0.46,Service at Department of Health Services was satisfied,Instagram
P001082,Department of Motor Traffic,Polonnaruwa,2025-03-05,Negative,0.767,Department of Census and Statistics service is slow,Twitter
P001083,Municipal Council,Ampara,2025-04-25,Neutral,-0.692,Experience with Inland Revenue Department was normal,Twitter
P001084,Inland Revenue Department,Gampaha,2025-03-19,Negative,0.528,Department of Census and Statistics service is unprofessional,Twitter
P001085,Department of Motor Traffic,Hambantota,2025-09-11,Neutral,-0.269,Experience with Inland Revenue Department was typical,Instagram
P001086,Municipal Council,Nuwara Eliya,2025-03-17,Neutral,-0.607,Experience with Department of Immigration was standard,Twitter
P001087,Provincial Council Secretariat,Badulla,2025-02-17,Negative,-0.549,Department of Motor Traffic service is corrupt,Facebook
P001088,Provincial Council Secretariat,Mannar,2025-05-20,Negative,0.18,Department of Census and Statistics service is waste of time,Twitter
P001089,Inland Revenue Department,Anuradhapura,2025-05-09,Negative,0.128,Department of Immigration service is frustrated,Facebook
P001090,Department of Motor Traffic,Gampaha,2024-12-07,Negative,0.748,Department of Health Services service is frustrated,Instagram
P001091,Provincial Council Secretariat,Colombo,2025-06-08,Negative,-0.078,Pradeshiya Sabha service is slow,Instagram
P001092,Divisional Secretariat,Badulla,2025-09-19,Neutral,-0.422,Experience with Department of Health Services was standard,Facebook
P001093,Department of Education,Kilinochhi,2025-07-29,Negative,-0.969,Department of Census and Statistics service is terrible,Facebook
P001094,Provincial Council Secretariat,Anuradhapura,2025-04-07,Negative,0.531,Department of Health Services service is corrupt,Instagram
P001095,Provincial Council Secretariat,Vavuniya,2025-04-07,Neutral,0.735,Experience with Department of Motor Traffic was standard,Facebook
P001096,Inland Revenue Department,Nuwara Eliya,2025-06-28,Neutral,-0.421,Experience with Pradeshiya Sabha was average,Twitter
P001097,Inland Revenue Department,Monaragala,2025-02-27,Negative,-0.872,Department of Motor Traffic service is terrible,Twitter
P001098,Registrar General Department,Ratnapura,2025-01-22,Neutral,0.695,Experience with Department of Health Services was typical,Facebook
P001099,Municipal Council,Kalutara,2025-08-10,Neutral,0.69,Experience with Department of Census and Statistics was typical,Instagram
P001100,Department of Health Services,Kandy,2024-12-13,Positive,-0.733,Service at Department of Motor Traffic was fast,Twitter
P001101,Registrar General Department,Hambantota,2024-10-07,Negative,-0.996,Provincial Council Secretariat service is waste of time,Twitter
P001102,Department of Immigration,Hambantota,2025-07-12,Negative,0.476,Department of Census and Statistics service is corrupt,Twitter
P001103,Inland Revenue Department,Monaragala,2025-07-05,Positive,-0.737,Service at Inland Revenue Department was excellent,Instagram
P001104,Department of Immigration,Batticaloa,2025-06-14,Positive,0.053,Service at Department of Motor Traffic was excellent,Instagram
P001105,Department of Pensions,Badulla,2025-06-29,Positive,-0.528,Service at Municipal Council was good service,Twitter
P001106,Pradeshiya Sabha,Matara,2025-08-01,Negative,-0.329,Department of Education service is frustrated,Twitter
P001107,Department of Education,Mullaitivu,2024-10-29,Negative,-0.632,Department of Health Services service is terrible,Facebook
P001108,Department of Health Services,Ratnapura,2025-05-02,Neutral,-0.024,Experience with Pradeshiya Sabha was typical,Facebook
P001109,Department of Education,Puttalam,2025-01-30,Negative,0.868,Provincial Council Secretariat service is frustrated,Twitter
P001110,Inland Revenue Department,Colombo,2024-12-11,Negative,0.284,Department of Pensions service is terrible,Twitter
P001111,Department of Health Services,Gampaha,2025-05-21,Negative,-0.742,Department of Health Services service is slow,Twitter
P001112,Department of Education,Ratnapura,2025-02-15,Neutral,-0.672,Experience with Pradeshiya Sabha was normal,Twitter
P001113,Divisional Secretariat,Matale,2025-06-16,Negative,-0.417,Inland Revenue Department service is waste of time,Instagram
P001114,Department of Education,Batticaloa,2024-09-22,Negative,-0.609,Divisional Secretariat service is waste of time,Instagram
P001115,Provincial Council Secretariat,Matale,2025-06-12,Neutral,-0.872,Experience with Pradeshiya Sabha was normal,Facebook
P001116,Department of Immigration,Trincomalee,2025-06-16,Positive,0.708,Service at Department of Immigration was fast,Twitter
P001117,Department of Census and Statistics,Nuwara Eliya,2025-01-06,Negative,0.444,Registrar General Department service is slow,Twitter
P001118,Department of Education,Badulla,2025-07-07,Negative,-0.945,Department of Motor Traffic service is waste of time,Instagram
P001119,Registrar General Department,Hambantota,2024-10-03,Neutral,-0.401,Experience with Department of Pensions was okay,Twitter
P001120,Department of Immigration,Hambantota,2024-11-21,Negative,0.622,Department of Immigration service is slow,Facebook
P001121,Municipal Council,Puttalam,2024-10-14,Negative,-0.559,Department of Motor Traffic service is frustrated,Instagram
P001122,Department of Motor Traffic,Hambantota,2025-03-25,Negative,-0.17,Pradeshiya Sabha service is unprofessional,Twitter
P001123,Inland Revenue Department,Polonnaruwa,2025-06-15,Negative,0.909,Divisional Secretariat service is unprofessional,Facebook
P001124,Pradeshiya Sabha,Matara,2024-12-10,Positive,-0.586,Service at Inland Revenue Department was helpful,Instagram
P001125,Divisional Secretariat,Kalutara,2025-03-17,Negative,0.463,Municipal Council service is frustrated,Instagram
P001126,Municipal Council,Ratnapura,2024-11-27,Positive,-0.464,Service at Inland Revenue Department was excellent,Instagram
P001127,Provincial Council Secretariat,Monaragala,2025-08-20,Negative,0.983,Divisional Secretariat service is corrupt,Facebook
P001128,Department of Immigration,Ratnapura,2025-05-27,Neutral,0.396,Experience with Department of Education was average,Twitter
P001129,Department of Health Services,Kalutara,2024-12-07,Positive,0.115,Service at Department of Education was excellent,Instagram
P001130,Municipal Council,Batticaloa,2025-03-02,Neutral,-0.43,Experience with Provincial Council Secretariat was normal,Instagram
P001131,Registrar General Department,Hambantota,2024-11-06,Negative,0.095,Department of Census and Statistics service is slow,Instagram
P001132,Department of Motor Traffic,Kurunegala,2025-03-18,Negative,0.276,Municipal Council service is waste of time,Facebook
P001133,Municipal Council,Colombo,2025-01-28,Negative,0.493,Municipal Council service is slow,Facebook
P001134,Municipal Council,Monaragala,2024-10-29,Neutral,-0.472,Experience with Municipal Council was normal,Instagram
P001135,Department of Motor Traffic,Kegalle,2024-10-13,Positive,0.748,Service at Registrar General Department was good service,Facebook
P001136,Department of Immigration,Mullaitivu,2025-08-14,Neutral,0.319,Experience with Department of Immigration was normal,Facebook
P001137,Municipal Council,Puttalam,2025-09-06,Negative,0.655,Municipal Council service is frustrated,Twitter
P001138,Department of Education,Gampaha,2025-04-18,Neutral,-0.503,Experience with Divisional Secretariat was standard,Facebook
P001139,Inland Revenue Department,Monaragala,2025-04-06,Neutral,-0.688,Experience with Department of Immigration was normal,Facebook
P001140,Department of Immigration,Mullaitivu,2025-05-27,Negative,0.268,Pradeshiya Sabha service is unprofessional,Facebook
P001141,Municipal Council,Kegalle,2024-09-28,Neutral,0.99,Experience with Department of Pensions was okay,Twitter
P001142,Department of Pensions,Galle,2024-09-20,Negative,0.59,Department of Census and Statistics service is slow,Twitter
P001143,Provincial Council Secretariat,Matara,2025-02-21,Negative,0.301,Department of Census and Statistics service is unprofessional,Twitter
P001144,Pradeshiya Sabha,Kalutara,2025-05-19,Negative,0.495,Pradeshiya Sabha service is corrupt,Twitter
P001145,Department of Pensions,Puttalam,2025-02-26,Positive,-0.112,Service at Department of Census and Statistics was fast,Facebook
P001146,Municipal Council,Polonnaruwa,2025-02-07,Negative,0.336,Department of Motor Traffic service is waste of time,Facebook
P001147,Inland Revenue Department,Gampaha,2024-11-02,Negative,-0.067,Provincial Council Secretariat service is waste of time,Instagram
P001148,Pradeshiya Sabha,Gampaha,2025-08-10,Neutral,0.463,Experience with Department of Education was typical,Instagram
P001149,Provincial Council Secretariat,Kegalle,2025-04-24,Positive,-0.981,Service at Department of Immigration was helpful,Facebook
P001150,Registrar General Department,Ratnapura,2025-07-28,Negative,0.019,Department of Pensions service is slow,Facebook
P001151,Department of Pensions,Hambantota,2025-09-06,Neutral,0.168,Experience with Municipal Council was okay,Twitter
P001152,Department of Immigration,Monaragala,2025-02-07,Negative,-0.615,Pradeshiya Sabha service is terrible,Twitter
P001153,Department of Motor Traffic,Jaffna,2025-06-23,Neutral,0.137,Experience with Department of Pensions was typical,Twitter
P001154,Department of Pensions,Kalutara,2025-08-22,Positive,-0.74,Service at Department of Health Services was helpful,Twitter
P001155,Inland Revenue Department,Kalutara,2024-10-04,Negative,-0.942,Municipal Council service is corrupt,Facebook
P001156,Department of Census and Statistics,Ratnapura,2025-08-05,Negative,0.044,Department of Motor Traffic service is slow,Facebook
P001157,Department of Motor Traffic,Kegalle,2025-02-19,Negative,-0.139,Department of Motor Traffic service is waste of time,Facebook
P001158,Provincial Council Secretariat,Matara,2025-05-07,Negative,-0.309,Department of Pensions service is terrible,Twitter
P001159,Registrar General Department,Hambantota,2025-03-24,Negative,0.439,Department of Motor Traffic service is frustrated,Facebook
P001160,Department of Census and Statistics,Kegalle,2025-08-17,Negative,-0.539,Municipal Council service is slow,Facebook
P001161,Registrar General Department,Monaragala,2025-07-21,Positive,-0.131,Service at Department of Census and Statistics was excellent,Instagram
P001162,Department of Census and Statistics,Anuradhapura,2025-06-05,Negative,-0.614,Registrar General Department service is corrupt,Twitter
P001163,Department of Census and Statistics,Colombo,2025-02-16,Positive,0.264,Service at Registrar General Department was good service,Instagram
P001164,Inland Revenue Department,Kandy,2025-03-25,Neutral,0.699,Experience with Department of Immigration was normal,Twitter
P001165,Department of Immigration,Colombo,2025-06-16,Negative,-0.123,Department of Education service is terrible,Facebook
P001166,Pradeshiya Sabha,Ratnapura,2025-04-08,Neutral,-0.646,Experience with Provincial Council Secretariat was normal,Twitter
P001167,Pradeshiya Sabha,Anuradhapura,2025-09-02,Negative,-0.143,Department of Health Services service is unprofessional,Instagram
P001168,Department of Motor Traffic,Kandy,2025-02-23,Positive,0.344,Service at Inland Revenue Department was fast,Instagram
P001169,Registrar General Department,Puttalam,2025-05-21,Neutral,0.966,Experience with Divisional Secretariat was typical,Instagram
P001170,Divisional Secretariat,Badulla,2024-11-19,Neutral,0.01,Experience with Department of Motor Traffic was okay,Twitter
P001171,Registrar General Department,Puttalam,2024-09-22,Neutral,-0.729,Experience with Divisional Secretariat was standard,Instagram
P001172,Provincial Council Secretariat,Batticaloa,2024-12-29,Neutral,0.715,Experience with Municipal Council was average,Facebook
P001173,Divisional Secretariat,Matale,2025-05-11,Neutral,0.601,Experience with Department of Census and Statistics was typical,Facebook
P001174,Department of Motor Traffic,Matale,2025-04-03,Negative,-0.19,Department of Pensions service is unprofessional,Facebook
P001175,Pradeshiya Sabha,Mullaitivu,2024-12-21,Negative,0.251,Department of Education service is slow,Facebook
P001176,Registrar General Department,Gampaha,2025-08-18,Neutral,-0.331,Experience with Department of Pensions was typical,Twitter
P001177,Department of Education,Matale,2024-09-27,Negative,0.638,Pradeshiya Sabha service is slow,Twitter
P001178,Department of Education,Anuradhapura,2025-01-21,Positive,0.033,Service at Department of Health Services was efficient,Instagram
P001179,Department of Motor Traffic,Ampara,2025-08-16,Negative,-0.994,Department of Education service is frustrated,Instagram
P001180,Divisional Secretariat,Matara,2025-01-05,Neutral,0.266,Experience with Department of Pensions was okay,Twitter
P001181,Department of Census and Statistics,Batticaloa,2025-08-01,Neutral,0.153,Experience with Inland Revenue Department was average,Twitter
P001182,Department of Health Services,Kalutara,2025-02-10,Negative,0.657,Municipal Council service is slow,Facebook
P001183,Department of Immigration,Puttalam,2025-02-03,Negative,0.623,Department of Motor Traffic service is terrible,Facebook
P001184,Municipal Council,Vavuniya,2025-03-08,Neutral,-0.884,Experience with Municipal Council was average,Instagram
P001185,Registrar General Department,Kalutara,2025-02-15,Negative,0.702,Department of Health Services service is frustrated,Twitter
